@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
13410,1,1000,2,6.71
13180,1,1000,2,6.59
13420,1,1000,2,6.71
13690,1,1000,2,6.84
13920,1,1000,2,6.96
13520,1,1000,2,6.76
13230,1,1000,2,6.62
13170,1,1000,2,6.58
13650,1,1000,2,6.83
13780,1,1000,2,6.89
13190,1,1000,2,6.59
13630,1,1000,2,6.82
13710,1,1000,2,6.86
13370,1,1000,2,6.68
13680,1,1000,2,6.84
13460,1,1000,2,6.73
13480,1,1000,2,6.74
13490,1,1000,2,6.75
13520,1,1000,2,6.76
13760,1,1000,2,6.88
13780,1,1000,2,6.89
13550,1,1000,2,6.78
13920,1,1000,2,6.96
13480,1,1000,2,6.74
13810,1,1000,2,6.91
13830,1,1000,2,6.92
13370,1,1000,2,6.68
13410,1,1000,2,6.71
13440,1,1000,2,6.72
14030,1,1000,2,7.01
13310,1,1000,2,6.66
13600,1,1000,2,6.8
13460,1,1000,2,6.73
13760,1,1000,2,6.88
13670,1,1000,2,6.83
13730,1,1000,2,6.87
13530,1,1000,2,6.76
13250,1,1000,2,6.62
13880,1,1000,2,6.94
13640,1,1000,2,6.82
13220,1,1000,2,6.61
14080,1,1000,2,7.04
13570,1,1000,2,6.79
13420,1,1000,2,6.71
13490,1,1000,2,6.75
13480,1,1000,2,6.74
13950,1,1000,2,6.97
13690,1,1000,2,6.84
13810,1,1000,2,6.91
13140,1,1000,2,6.57
13080,1,1000,2,6.54
13730,1,1000,2,6.87
13690,1,1000,2,6.84
13580,1,1000,2,6.79
13470,1,1000,2,6.74
14120,1,1000,2,7.06
13180,1,1000,2,6.59
13460,1,1000,2,6.73
13590,1,1000,2,6.79
13760,1,1000,2,6.88
13640,1,1000,2,6.82
13450,1,1000,2,6.72
13140,1,1000,2,6.57
13750,1,1000,2,6.88
13520,1,1000,2,6.76
13680,1,1000,2,6.84
13610,1,1000,2,6.8
13170,1,1000,2,6.58
14160,1,1000,2,7.08
13850,1,1000,2,6.92
13610,1,1000,2,6.8
13840,1,1000,2,6.92
13920,1,1000,2,6.96
13760,1,1000,2,6.88
13500,1,1000,2,6.75
13640,1,1000,2,6.82
13620,1,1000,2,6.81
13840,1,1000,2,6.92
13800,1,1000,2,6.9
13050,1,1000,2,6.53
13140,1,1000,2,6.57
13760,1,1000,2,6.88
13830,1,1000,2,6.92
13180,1,1000,2,6.59
13550,1,1000,2,6.78
13810,1,1000,2,6.91
13270,1,1000,2,6.63
13220,1,1000,2,6.61
13790,1,1000,2,6.89
13710,1,1000,2,6.86
13370,1,1000,2,6.68
13750,1,1000,2,6.88
13560,1,1000,2,6.78
13290,1,1000,2,6.64
13660,1,1000,2,6.83
13560,1,1000,2,6.78
13490,1,1000,2,6.75
13810,1,1000,2,6.91
13360,1,1000,2,6.68
13460,1,1000,2,6.73
13690,1,1000,2,6.84
13680,1,1000,2,6.84
13720,1,1000,2,6.86
13740,1,1000,2,6.87
13500,1,1000,2,6.75
13870,1,1000,2,6.93
13700,1,1000,2,6.85
13480,1,1000,2,6.74
13560,1,1000,2,6.78
14230,1,1000,2,7.12
13630,1,1000,2,6.82
13950,1,1000,2,6.97
13740,1,1000,2,6.87
13360,1,1000,2,6.68
