@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
13310,1,1000,2,6.66
13760,1,1000,2,6.88
13820,1,1000,2,6.91
13380,1,1000,2,6.69
13300,1,1000,2,6.65
13510,1,1000,2,6.75
13530,1,1000,2,6.76
13200,1,1000,2,6.6
13340,1,1000,2,6.67
13310,1,1000,2,6.66
13650,1,1000,2,6.83
13480,1,1000,2,6.74
13610,1,1000,2,6.8
13750,1,1000,2,6.88
13160,1,1000,2,6.58
13470,1,1000,2,6.74
13510,1,1000,2,6.75
13490,1,1000,2,6.75
13680,1,1000,2,6.84
13520,1,1000,2,6.76
13800,1,1000,2,6.9
13330,1,1000,2,6.67
13460,1,1000,2,6.73
13590,1,1000,2,6.79
13500,1,1000,2,6.75
13530,1,1000,2,6.76
13580,1,1000,2,6.79
13460,1,1000,2,6.73
13180,1,1000,2,6.59
13350,1,1000,2,6.67
14000,1,1000,2,7
13780,1,1000,2,6.89
13520,1,1000,2,6.76
13860,1,1000,2,6.93
13430,1,1000,2,6.71
13480,1,1000,2,6.74
14220,1,1000,2,7.11
13640,1,1000,2,6.82
13830,1,1000,2,6.92
13970,1,1000,2,6.99
13450,1,1000,2,6.72
13460,1,1000,2,6.73
13550,1,1000,2,6.78
13090,1,1000,2,6.54
13820,1,1000,2,6.91
13590,1,1000,2,6.79
13590,1,1000,2,6.79
13420,1,1000,2,6.71
13730,1,1000,2,6.87
13440,1,1000,2,6.72
13620,1,1000,2,6.81
13270,1,1000,2,6.63
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10680,2,1000,2,5.34
10570,2,1000,2,5.29
10610,2,1000,2,5.3
10450,2,1000,2,5.22
10750,2,1000,2,5.38
10760,2,1000,2,5.38
10620,2,1000,2,5.31
10550,2,1000,2,5.28
10510,2,1000,2,5.25
10600,2,1000,2,5.3
10450,2,1000,2,5.22
10640,2,1000,2,5.32
10700,2,1000,2,5.35
10770,2,1000,2,5.38
10740,2,1000,2,5.37
10520,2,1000,2,5.26
10700,2,1000,2,5.35
10470,2,1000,2,5.24
10560,2,1000,2,5.28
10720,2,1000,2,5.36
10750,2,1000,2,5.38
10610,2,1000,2,5.3
10380,2,1000,2,5.19
10610,2,1000,2,5.3
10490,2,1000,2,5.25
10520,2,1000,2,5.26
10640,2,1000,2,5.32
10560,2,1000,2,5.28
10670,2,1000,2,5.33
10530,2,1000,2,5.26
10430,2,1000,2,5.21
10590,2,1000,2,5.29
10720,2,1000,2,5.36
10550,2,1000,2,5.28
10740,2,1000,2,5.37
10550,2,1000,2,5.28
10780,2,1000,2,5.39
10570,2,1000,2,5.29
10640,2,1000,2,5.32
10620,2,1000,2,5.31
10640,2,1000,2,5.32
10460,2,1000,2,5.23
10550,2,1000,2,5.28
10730,2,1000,2,5.37
10370,2,1000,2,5.18
10710,2,1000,2,5.36
10660,2,1000,2,5.33
10810,2,1000,2,5.41
10600,2,1000,2,5.3
10660,2,1000,2,5.33
10540,2,1000,2,5.27
10620,2,1000,2,5.31
10650,2,1000,2,5.33
10850,2,1000,2,5.42
10530,2,1000,2,5.26
10600,2,1000,2,5.3
10680,2,1000,2,5.34
10600,2,1000,2,5.3
10380,2,1000,2,5.19
10520,2,1000,2,5.26
10560,2,1000,2,5.28
10420,2,1000,2,5.21
10480,2,1000,2,5.24
10490,2,1000,2,5.25
10470,2,1000,2,5.24
10680,2,1000,2,5.34
10690,2,1000,2,5.34
10520,2,1000,2,5.26
10900,2,1000,2,5.45
10630,2,1000,2,5.32
10520,2,1000,2,5.26
10580,2,1000,2,5.29
10510,2,1000,2,5.25
10560,2,1000,2,5.28
10620,2,1000,2,5.31
10420,2,1000,2,5.21
10580,2,1000,2,5.29
10620,2,1000,2,5.31
10780,2,1000,2,5.39
10620,2,1000,2,5.31
10620,2,1000,2,5.31
10640,2,1000,2,5.32
10590,2,1000,2,5.29
10560,2,1000,2,5.28
10490,2,1000,2,5.25
10770,2,1000,2,5.38
10690,2,1000,2,5.34
10730,2,1000,2,5.37
10610,2,1000,2,5.3
10690,2,1000,2,5.34
10630,2,1000,2,5.32
10690,2,1000,2,5.34
10620,2,1000,2,5.31
10480,2,1000,2,5.24
10420,2,1000,2,5.21
10700,2,1000,2,5.35
10610,2,1000,2,5.3
10590,2,1000,2,5.29
10640,1,1000,2,5.32
10500,2,1000,2,5.25
10560,2,1000,2,5.28
10620,2,1000,2,5.31
10710,2,1000,2,5.36
10510,2,1000,2,5.25
10440,2,1000,2,5.22
10590,2,1000,2,5.29
10530,2,1000,2,5.26
10450,2,1000,2,5.22
10410,2,1000,2,5.21
10670,2,1000,2,5.33
10510,2,1000,2,5.25
10510,2,1000,2,5.25
10750,2,1000,2,5.38
10740,2,1000,2,5.37
10530,2,1000,2,5.26
10600,2,1000,2,5.3
10620,2,1000,2,5.31
10420,2,1000,2,5.21
10690,2,1000,2,5.34
10540,2,1000,2,5.27
10620,2,1000,2,5.31
10640,2,1000,2,5.32
10430,2,1000,2,5.21
10700,2,1000,2,5.35
10530,2,1000,2,5.26
10620,2,1000,2,5.31
10590,2,1000,2,5.29
10660,2,1000,2,5.33
10510,2,1000,2,5.25
10410,2,1000,2,5.21
10460,2,1000,2,5.23
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10540,2,1000,2,5.27
10590,2,1000,2,5.29
10640,2,1000,2,5.32
10470,2,1000,2,5.24
10700,2,1000,2,5.35
10550,2,1000,2,5.28
10470,2,1000,2,5.24
10760,2,1000,2,5.38
10500,2,1000,2,5.25
10640,2,1000,2,5.32
10640,2,1000,2,5.32
10360,2,1000,2,5.18
10590,2,1000,2,5.29
10760,2,1000,2,5.38
10760,2,1000,2,5.38
10640,2,1000,2,5.32
10490,2,1000,2,5.25
10360,2,1000,2,5.18
10590,2,1000,2,5.29
10720,2,1000,2,5.36
10570,2,1000,2,5.29
10440,2,1000,2,5.22
10590,2,1000,2,5.29
10590,2,1000,2,5.29
10560,2,1000,2,5.28
10750,2,1000,2,5.38
10720,2,1000,2,5.36
10480,2,1000,2,5.24
10560,2,1000,2,5.28
10510,2,1000,2,5.25
10480,2,1000,2,5.24
10500,2,1000,2,5.25
10550,2,1000,2,5.28
10460,2,1000,2,5.23
10670,2,1000,2,5.33
10570,2,1000,2,5.29
10610,1,1000,2,5.3
10630,2,1000,2,5.32
10550,2,1000,2,5.28
10660,2,1000,2,5.33
10440,2,1000,2,5.22
10620,2,1000,2,5.31
10720,2,1000,2,5.36
10820,2,1000,2,5.41
10530,2,1000,2,5.26
10710,2,1000,2,5.36
10470,2,1000,2,5.24
10640,2,1000,2,5.32
10600,2,1000,2,5.3
10430,2,1000,2,5.21
10610,2,1000,2,5.3
10570,2,1000,2,5.29
10610,2,1000,2,5.3
10580,2,1000,2,5.29
10550,2,1000,2,5.28
10500,2,1000,2,5.25
10550,2,1000,2,5.28
10500,2,1000,2,5.25
10470,2,1000,2,5.24
10570,2,1000,2,5.29
10540,2,1000,2,5.27
10510,2,1000,2,5.25
10410,2,1000,2,5.21
10430,2,1000,2,5.21
10510,2,1000,2,5.25
10780,2,1000,2,5.39
10580,2,1000,2,5.29
10620,2,1000,2,5.31
10460,2,1000,2,5.23
10580,2,1000,2,5.29
10660,2,1000,2,5.33
10550,2,1000,2,5.28
10530,2,1000,2,5.26
10670,2,1000,2,5.33
10480,2,1000,2,5.24
10630,2,1000,2,5.32
10780,2,1000,2,5.39
10510,2,1000,2,5.25
10530,2,1000,2,5.26
10500,2,1000,2,5.25
10430,2,1000,2,5.21
10440,2,1000,2,5.22
10620,2,1000,2,5.31
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10520,2,1000,2,5.26
10770,2,1000,2,5.38
10730,2,1000,2,5.37
10510,2,1000,2,5.25
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10380,2,1000,2,5.19
10760,2,1000,2,5.38
10620,2,1000,2,5.31
10520,2,1000,2,5.26
10480,2,1000,2,5.24
10620,2,1000,2,5.31
10610,2,1000,2,5.3
10660,2,1000,2,5.33
10500,2,1000,2,5.25
10660,2,1000,2,5.33
10660,2,1000,2,5.33
10660,2,1000,2,5.33
10400,2,1000,2,5.2
10590,2,1000,2,5.29
10560,2,1000,2,5.28
10450,2,1000,2,5.22
10600,2,1000,2,5.3
10800,2,1000,2,5.4
10670,2,1000,2,5.33
10580,2,1000,2,5.29
10590,2,1000,2,5.29
10700,2,1000,2,5.35
10550,2,1000,2,5.28
10710,2,1000,2,5.36
10640,2,1000,2,5.32
10410,2,1000,2,5.21
10580,2,1000,2,5.29
10480,2,1000,2,5.24
10640,2,1000,2,5.32
10520,2,1000,2,5.26
10530,2,1000,2,5.26
10720,2,1000,2,5.36
10640,2,1000,2,5.32
10630,2,1000,2,5.32
10740,2,1000,2,5.37
10700,2,1000,2,5.35
10720,2,1000,2,5.36
10480,2,1000,2,5.24
10730,2,1000,2,5.37
10680,2,1000,2,5.34
10360,2,1000,2,5.18
10500,2,1000,2,5.25
10520,2,1000,2,5.26
10430,2,1000,2,5.21
10540,2,1000,2,5.27
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10680,2,1000,2,5.34
10740,2,1000,2,5.37
10680,2,1000,2,5.34
10600,2,1000,2,5.3
10730,2,1000,2,5.37
10680,2,1000,2,5.34
10590,2,1000,2,5.29
10710,2,1000,2,5.36
10670,2,1000,2,5.33
10500,2,1000,2,5.25
10480,2,1000,2,5.24
10530,2,1000,2,5.26
10670,2,1000,2,5.33
10470,2,1000,2,5.24
10550,2,1000,2,5.28
10600,2,1000,2,5.3
10610,2,1000,2,5.3
10690,2,1000,2,5.34
10600,2,1000,2,5.3
10550,2,1000,2,5.28
10670,2,1000,2,5.33
10550,2,1000,2,5.28
10680,2,1000,2,5.34
10430,2,1000,2,5.21
10530,2,1000,2,5.26
10630,2,1000,2,5.32
10620,2,1000,2,5.31
10550,2,1000,2,5.28
10670,2,1000,2,5.33
10590,2,1000,2,5.29
10480,2,1000,2,5.24
10750,2,1000,2,5.38
10620,2,1000,2,5.31
10670,2,1000,2,5.33
10580,2,1000,2,5.29
10520,2,1000,2,5.26
10730,2,1000,2,5.37
10590,2,1000,2,5.29
10600,2,1000,2,5.3
10750,2,1000,2,5.38
10480,2,1000,2,5.24
10420,2,1000,2,5.21
10590,2,1000,2,5.29
10570,2,1000,2,5.29
10620,2,1000,2,5.31
10570,2,1000,2,5.29
10890,2,1000,2,5.45
10810,2,1000,2,5.41
10470,2,1000,2,5.24
10680,2,1000,2,5.34
10690,2,1000,2,5.34
10680,2,1000,2,5.34
10570,2,1000,2,5.29
10580,2,1000,2,5.29
10590,2,1000,2,5.29
10660,2,1000,2,5.33
10490,2,1000,2,5.25
10540,2,1000,2,5.27
10460,2,1000,2,5.23
10620,2,1000,2,5.31
10520,2,1000,2,5.26
10420,2,1000,2,5.21
10600,2,1000,2,5.3
10590,2,1000,2,5.29
10680,2,1000,2,5.34
10610,2,1000,2,5.3
10620,2,1000,2,5.31
10630,2,1000,2,5.32
10610,2,1000,2,5.3
10800,2,1000,2,5.4
10430,2,1000,2,5.21
10670,2,1000,2,5.33
10570,2,1000,2,5.29
10470,2,1000,2,5.24
10660,2,1000,2,5.33
10710,2,1000,2,5.36
10540,2,1000,2,5.27
10620,2,1000,2,5.31
10550,2,1000,2,5.28
10520,2,1000,2,5.26
10580,2,1000,2,5.29
10640,2,1000,2,5.32
10660,2,1000,2,5.33
10620,2,1000,2,5.31
10590,2,1000,2,5.29
10520,2,1000,2,5.26
10580,2,1000,2,5.29
10580,2,1000,2,5.29
10670,2,1000,2,5.33
10650,2,1000,2,5.33
10580,2,1000,2,5.29
10600,2,1000,2,5.3
10690,2,1000,2,5.34
10500,2,1000,2,5.25
10610,2,1000,2,5.3
10520,2,1000,2,5.26
10550,2,1000,2,5.28
10570,2,1000,2,5.29
10440,2,1000,2,5.22
10570,2,1000,2,5.29
10660,2,1000,2,5.33
10570,2,1000,2,5.29
10550,2,1000,2,5.28
10780,2,1000,2,5.39
10620,2,1000,2,5.31
10600,2,1000,2,5.3
10690,2,1000,2,5.34
10570,2,1000,2,5.29
10680,2,1000,2,5.34
10590,2,1000,2,5.29
10620,2,1000,2,5.31
10670,2,1000,2,5.33
10700,2,1000,2,5.35
10570,2,1000,2,5.29
10600,2,1000,2,5.3
10490,2,1000,2,5.25
10580,2,1000,2,5.29
10440,2,1000,2,5.22
10590,2,1000,2,5.29
10750,2,1000,2,5.38
10620,2,1000,2,5.31
10410,2,1000,2,5.21
10500,2,1000,2,5.25
10740,2,1000,2,5.37
10710,2,1000,2,5.36
10460,2,1000,2,5.23
10650,2,1000,2,5.33
10500,2,1000,2,5.25
10710,2,1000,2,5.36
10710,2,1000,2,5.36
10570,2,1000,2,5.29
10570,2,1000,2,5.29
10650,2,1000,2,5.33
10640,2,1000,2,5.32
10560,2,1000,2,5.28
10570,2,1000,2,5.29
10710,2,1000,2,5.36
10750,2,1000,2,5.38
10510,2,1000,2,5.25
10640,2,1000,2,5.32
10660,2,1000,2,5.33
10710,2,1000,2,5.36
10660,2,1000,2,5.33
10370,2,1000,2,5.18
10820,2,1000,2,5.41
10670,2,1000,2,5.33
10600,2,1000,2,5.3
10590,2,1000,2,5.29
10710,2,1000,2,5.36
10400,2,1000,2,5.2
10470,2,1000,2,5.24
10640,2,1000,2,5.32
10500,2,1000,2,5.25
10630,2,1000,2,5.32
10590,2,1000,2,5.29
10530,2,1000,2,5.26
10620,2,1000,2,5.31
10500,2,1000,2,5.25
10580,2,1000,2,5.29
10470,2,1000,2,5.24
10640,2,1000,2,5.32
10410,2,1000,2,5.21
10590,2,1000,2,5.29
10480,2,1000,2,5.24
10560,2,1000,2,5.28
10490,2,1000,2,5.25
10630,2,1000,2,5.32
10540,2,1000,2,5.27
10490,2,1000,2,5.25
10600,2,1000,2,5.3
10520,2,1000,2,5.26
10570,2,1000,2,5.29
10640,2,1000,2,5.32
10600,2,1000,2,5.3
10680,2,1000,2,5.34
10660,2,1000,2,5.33
10700,2,1000,2,5.35
10550,2,1000,2,5.28
10450,2,1000,2,5.22
10570,2,1000,2,5.29
10590,2,1000,2,5.29
10620,2,1000,2,5.31
10460,2,1000,2,5.23
10670,2,1000,2,5.33
10650,2,1000,2,5.33
10700,2,1000,2,5.35
10640,2,1000,2,5.32
10580,2,1000,2,5.29
10550,2,1000,2,5.28
10650,2,1000,2,5.33
10630,2,1000,2,5.32
10580,2,1000,2,5.29
10480,2,1000,2,5.24
10560,2,1000,2,5.28
10550,2,1000,2,5.28
10600,2,1000,2,5.3
10610,2,1000,2,5.3
10600,2,1000,2,5.3
10540,2,1000,2,5.27
10540,2,1000,2,5.27
10500,2,1000,2,5.25
10610,2,1000,2,5.3
10680,2,1000,2,5.34
10660,2,1000,2,5.33
10610,2,1000,2,5.3
10540,2,1000,2,5.27
10600,2,1000,2,5.3
10600,2,1000,2,5.3
10560,2,1000,2,5.28
10630,2,1000,2,5.32
10490,2,1000,2,5.25
10690,2,1000,2,5.34
10630,2,1000,2,5.32
10720,2,1000,2,5.36
10590,2,1000,2,5.29
10460,2,1000,2,5.23
10610,2,1000,2,5.3
10540,2,1000,2,5.27
10420,2,1000,2,5.21
10600,2,1000,2,5.3
10610,2,1000,2,5.3
10520,2,1000,2,5.26
10420,2,1000,2,5.21
10490,2,1000,2,5.25
10670,2,1000,2,5.33
10550,2,1000,2,5.28
10730,2,1000,2,5.37
10620,2,1000,2,5.31
10550,2,1000,2,5.28
10670,2,1000,2,5.33
10730,2,1000,2,5.37
10450,2,1000,2,5.22
10400,2,1000,2,5.2
10380,2,1000,2,5.19
10360,2,1000,2,5.18
10500,2,1000,2,5.25
10550,2,1000,2,5.28
10540,2,1000,2,5.27
10570,2,1000,2,5.29
10600,2,1000,2,5.3
10580,2,1000,2,5.29
10610,2,1000,2,5.3
10670,2,1000,2,5.33
10400,2,1000,2,5.2
10400,2,1000,2,5.2
10710,2,1000,2,5.36
10500,1,1000,2,5.25
10490,2,1000,2,5.25
10480,2,1000,2,5.24
10510,2,1000,2,5.25
10540,2,1000,2,5.27
10750,2,1000,2,5.38
10560,2,1000,2,5.28
10530,2,1000,2,5.26
10630,2,1000,2,5.32
10800,2,1000,2,5.4
10670,2,1000,2,5.33
10510,2,1000,2,5.25
10480,2,1000,2,5.24
10770,2,1000,2,5.38
10590,2,1000,2,5.29
10550,2,1000,2,5.28
10610,2,1000,2,5.3
10560,2,1000,2,5.28
10620,2,1000,2,5.31
10530,2,1000,2,5.26
10620,2,1000,2,5.31
10590,2,1000,2,5.29
10730,2,1000,2,5.37
10600,2,1000,2,5.3
10750,2,1000,2,5.38
10520,2,1000,2,5.26
10610,2,1000,2,5.3
10540,2,1000,2,5.27
10560,2,1000,2,5.28
10820,2,1000,2,5.41
10400,2,1000,2,5.2
10470,2,1000,2,5.24
10530,2,1000,2,5.26
10620,2,1000,2,5.31
10610,2,1000,2,5.3
10560,2,1000,2,5.28
10530,2,1000,2,5.26
10580,2,1000,2,5.29
10530,2,1000,2,5.26
10550,2,1000,2,5.28
10620,2,1000,2,5.31
10520,2,1000,2,5.26
10510,2,1000,2,5.25
10720,2,1000,2,5.36
10660,2,1000,2,5.33
10720,2,1000,2,5.36
10670,2,1000,2,5.33
10770,2,1000,2,5.38
10640,2,1000,2,5.32
10670,2,1000,2,5.33
10600,2,1000,2,5.3
10700,2,1000,2,5.35
10710,2,1000,2,5.36
10610,2,1000,2,5.3
10620,2,1000,2,5.31
10450,2,1000,2,5.22
10800,2,1000,2,5.4
10690,2,1000,2,5.34
10530,2,1000,2,5.26
10590,2,1000,2,5.29
10610,2,1000,2,5.3
10710,2,1000,2,5.36
10840,2,1000,2,5.42
10640,2,1000,2,5.32
10640,2,1000,2,5.32
10560,2,1000,2,5.28
10660,2,1000,2,5.33
10770,2,1000,2,5.38
10610,2,1000,2,5.3
10580,2,1000,2,5.29
10690,2,1000,2,5.34
10530,2,1000,2,5.26
10380,2,1000,2,5.19
10420,2,1000,2,5.21
10550,2,1000,2,5.28
10620,2,1000,2,5.31
10580,2,1000,2,5.29
10450,2,1000,2,5.22
10490,2,1000,2,5.25
10730,2,1000,2,5.37
10500,2,1000,2,5.25
10830,2,1000,2,5.42
10570,2,1000,2,5.29
10690,2,1000,2,5.34
10500,2,1000,2,5.25
10510,2,1000,2,5.25
10660,2,1000,2,5.33
10470,2,1000,2,5.24
10540,2,1000,2,5.27
10570,2,1000,2,5.29
10700,2,1000,2,5.35
10620,2,1000,2,5.31
10660,2,1000,2,5.33
10350,2,1000,2,5.17
10480,2,1000,2,5.24
10630,2,1000,2,5.32
10680,2,1000,2,5.34
10530,2,1000,2,5.26
10650,2,1000,2,5.33
10540,2,1000,2,5.27
10300,2,1000,2,5.15
10560,2,1000,2,5.28
10530,2,1000,2,5.26
10530,2,1000,2,5.26
10460,2,1000,2,5.23
10620,2,1000,2,5.31
10680,2,1000,2,5.34
10540,2,1000,2,5.27
10550,2,1000,2,5.28
10510,2,1000,2,5.25
10680,2,1000,2,5.34
10530,2,1000,2,5.26
10420,2,1000,2,5.21
10640,2,1000,2,5.32
10480,2,1000,2,5.24
10430,2,1000,2,5.21
10600,2,1000,2,5.3
10740,2,1000,2,5.37
10730,2,1000,2,5.37
10480,2,1000,2,5.24
10660,2,1000,2,5.33
10750,2,1000,2,5.38
10480,2,1000,2,5.24
10420,2,1000,2,5.21
10700,2,1000,2,5.35
10710,2,1000,2,5.36
10570,2,1000,2,5.29
10620,2,1000,2,5.31
10750,2,1000,2,5.38
10600,2,1000,2,5.3
10530,2,1000,2,5.26
10530,2,1000,2,5.26
10550,2,1000,2,5.28
10370,2,1000,2,5.18
10670,2,1000,2,5.33
10630,2,1000,2,5.32
10530,2,1000,2,5.26
10570,2,1000,2,5.29
10620,2,1000,2,5.31
10500,2,1000,2,5.25
10600,2,1000,2,5.3
10560,2,1000,2,5.28
10610,2,1000,2,5.3
52960,662,1000,2,26.48
89120,1,1000,2,44.56
10530,2,1000,2,5.26
10590,2,1000,2,5.29
10530,2,1000,2,5.26
10580,2,1000,2,5.29
10770,2,1000,2,5.38
10710,2,1000,2,5.36
10470,2,1000,2,5.24
10670,2,1000,2,5.33
10560,2,1000,2,5.28
10730,2,1000,2,5.37
10860,2,1000,2,5.43
10800,2,1000,2,5.4
10510,2,1000,2,5.25
10670,2,1000,2,5.33
10840,2,1000,2,5.42
10790,2,1000,2,5.39
11120,2,1000,2,5.56
10460,2,1000,2,5.23
10610,2,1000,2,5.3
10560,2,1000,2,5.28
10880,2,1000,2,5.44
10410,2,1000,2,5.21
10900,2,1000,2,5.45
10800,2,1000,2,5.4
10470,2,1000,2,5.24
10970,2,1000,2,5.49
10870,2,1000,2,5.43
10370,2,1000,2,5.18
10550,2,1000,2,5.28
10820,2,1000,2,5.41
10800,2,1000,2,5.4
10570,2,1000,2,5.29
10450,2,1000,2,5.22
10730,2,1000,2,5.37
10830,2,1000,2,5.42
10520,2,1000,2,5.26
10720,2,1000,2,5.36
10970,2,1000,2,5.49
10620,2,1000,2,5.31
10790,2,1000,2,5.39
10900,2,1000,2,5.45
10570,2,1000,2,5.29
10450,2,1000,2,5.22
10630,2,1000,2,5.32
10980,2,1000,2,5.49
10720,2,1000,2,5.36
10730,2,1000,2,5.37
10690,2,1000,2,5.34
10720,2,1000,2,5.36
10670,2,1000,2,5.33
10710,2,1000,2,5.36
10760,2,1000,2,5.38
10540,2,1000,2,5.27
10700,2,1000,2,5.35
10900,2,1000,2,5.45
11050,2,1000,2,5.53
10760,2,1000,2,5.38
10680,2,1000,2,5.34
10620,2,1000,2,5.31
10290,2,1000,2,5.14
10630,2,1000,2,5.32
10550,2,1000,2,5.28
10870,2,1000,2,5.43
10600,2,1000,2,5.3
11120,2,1000,2,5.56
10970,2,1000,2,5.49
10930,2,1000,2,5.46
10930,2,1000,2,5.46
10610,2,1000,2,5.3
11120,2,1000,2,5.56
10940,2,1000,2,5.47
10620,2,1000,2,5.31
10560,2,1000,2,5.28
10710,2,1000,2,5.36
10600,2,1000,2,5.3
10800,2,1000,2,5.4
10870,2,1000,2,5.43
10690,2,1000,2,5.34
10590,2,1000,2,5.29
10900,2,1000,2,5.45
10670,2,1000,2,5.33
10810,2,1000,2,5.41
10980,2,1000,2,5.49
10670,2,1000,2,5.33
10430,2,1000,2,5.21
11210,2,1000,2,5.61
10680,2,1000,2,5.34
10920,2,1000,2,5.46
10730,2,1000,2,5.37
10630,2,1000,2,5.32
10740,2,1000,2,5.37
10900,2,1000,2,5.45
10640,2,1000,2,5.32
10800,2,1000,2,5.4
10830,2,1000,2,5.42
10760,2,1000,2,5.38
10890,2,1000,2,5.45
11030,2,1000,2,5.51
10860,2,1000,2,5.43
10660,2,1000,2,5.33
10860,2,1000,2,5.43
10840,2,1000,2,5.42
10950,2,1000,2,5.47
10730,2,1000,2,5.37
10760,2,1000,2,5.38
10950,2,1000,2,5.47
10800,2,1000,2,5.4
10690,2,1000,2,5.34
10740,2,1000,2,5.37
10770,2,1000,2,5.38
10820,2,1000,2,5.41
10690,2,1000,2,5.34
10890,2,1000,2,5.45
10620,2,1000,2,5.31
10740,2,1000,2,5.37
10800,2,1000,2,5.4
10480,2,1000,2,5.24
10980,2,1000,2,5.49
10620,2,1000,2,5.31
10850,2,1000,2,5.42
10690,2,1000,2,5.34
10730,2,1000,2,5.37
11000,2,1000,2,5.5
10480,2,1000,2,5.24
10610,2,1000,2,5.3
11050,2,1000,2,5.53
10920,2,1000,2,5.46
10710,2,1000,2,5.36
10790,2,1000,2,5.39
10840,2,1000,2,5.42
10770,2,1000,2,5.38
10790,2,1000,2,5.39
10520,2,1000,2,5.26
10900,2,1000,2,5.45
10650,2,1000,2,5.33
10890,2,1000,2,5.45
10730,2,1000,2,5.37
10880,2,1000,2,5.44
10900,2,1000,2,5.45
10930,2,1000,2,5.46
10850,2,1000,2,5.42
10830,2,1000,2,5.42
10230,2,1000,2,5.12
10970,2,1000,2,5.49
10590,2,1000,2,5.29
10420,2,1000,2,5.21
10820,2,1000,2,5.41
10560,2,1000,2,5.28
10820,2,1000,2,5.41
10820,2,1000,2,5.41
10820,2,1000,2,5.41
